star,Hotel_name,review_rate,review_grade,reviewer_name,trip_type,room_type,trip_date_year,trip_date_month,title,review,trip_day,review_date,datetime,rate,stem_review
1,유원호텔_서초,9.2,최고,jeon,나홀로 여행객,스탠다드 더블 베드,2020.0,12.0,친절했습니다.”,아버님 서울 병원 방문 목적으로 혼자 숙박하셔야 되어 걱정 많았으나 사전 전화 문의에도 친절하셨고 사용하신 아버님도 매우 만족하셨습니다.,1,2021-01-01,2021-01-01,4,아버님 서울 병원 방문 목적으로 혼자 숙박하다 되어다 걱정 많다 사전 전화 문의에도 친절하다 사용하다 아버님도 매우 만족하다.
1,유원호텔_서초,7.2,좋음,Joonvum,출장 여행객,스탠다드 더블 베드,2019.0,6.0,유원호텔 이용후기”,3호선 남부터미널 역이 매우 가깝고 교대역까지도 도보로 이동 가능한 거리에 위치함. 싼 가격. 같은 가격에 모텔보다는 좀 더 나은 숙소를 원한다면 추천. 그러나 호텔 내부 시설은 전무함. 주말에 묵었을 때는 창문을 열면 유흥가는 아니지만 유흥가처럼 시끄러움. 전체적으로 가격 대비 괜찮음.,1,2019-07-07,2019-07-07,3,3호선 남부터미널 역이 매우 가깝다 교대역까지도 도보로 이동 가능하다 거리에 위치함. 싸다 가격. 같다 가격에 모텔보다는 좀 더 나은 숙소를 원하다 추천. 그러나 호텔 내부 시설은 전무하다. 주말에 묵다 때는 창문을 열다 유흥가는 아니다 유흥가처럼 시끄럽다움. 전체적으로 가격 대비 괜찮다.
1,유원호텔_서초,8.8,우수,JaeYoung,나홀로 여행객,디럭스 더블베드,2019.0,9.0,대체적으로 만족합니다”,"디럭스 더블베드 룸에 숙박했습니다. 방은 깨끗했고 직원분들도 친절했습니다. 남부터미널이 바로 근처고, 편의점과 카페, 식당들도 많고 다이소도 근처라 편리했습니다. 단 제가 투숙했던 방은 컴퓨터가 구형인지 버퍼가 조금 심했고 리모컨 조명 컨트롤이 고장인지 작동하지 않았습니다. 이런 몇 가지 결점만 제외하면 매우 만족했습니다.",1,2019-10-01,2019-10-01,4,"디럭스 더블베드 룸에 숙박하다. 방은 깨끗하다 직원분들도 친절하다. 남부터미널이 바로 근처고, 편의점과 카페, 식당들도 많다 다이소도 근처라 편리하다. 단 제가 투숙하다 방은 컴퓨터가 구형인지 버퍼가 조금 심하다 리모컨 조명 컨트롤이 고장인지 작동하다 않다. 이렇다 몇 가지 결점만 제외하다 매우 만족하다."
1,유원호텔_서초,9.0,최고,Hye,그룹 여행객,스탠다드룸,2016.0,1.0,실내 조명(전등) 좀 환하게...”,숙박의 목적에 따라 평가가 달라지겠지만 저희는 5명 친구들과 함께 하는 거라 도란도란 얘기도 좀 하고 싶었지만 조명 상태가 너무 어두워서 답답했답니다. 화장하기도 어렵고요. 기본 등은 있어야 되지 않나 싶어요. 그 외에는 만족!,1,2016-01-19,2016-01-19,4,숙박의 목적에 따르다 평가가 달라지다 저희는 5명 친구들과 함께 하다 거라 도란도란 얘기도 좀 하다 싶다 조명 상태가 너무 어둡다 답답하다. 화장하다 어렵다. 기본 등은 있다 되다 않다 싶다. 그 외에는 만족!
1,유원호텔_서초,10.0,최고,SUNGMIN,커플/2인 여행객,스탠다드 더블 베드,2012.0,8.0,가격대비 위치 최고의 모텔”,"일단 남부터미널에서 가깝고 놀라울 만큼 저렴한 숙박료에 감탄했습니다. 지방에 사는지라 주말에 친구들 만나러 서울에 자주 가는데, 그때마다 모텔비 때문에 부담스러웠거든요. 다음번에도 이용할 계획입니다.",1,2012-08-23,2012-08-23,5,"일단 남부터미널에서 가깝다 놀라다 만큼 저렴하다 숙박료에 감탄하다. 지방에 사다 주말에 친구들 만나다 서울에 자주 가다, 그때마다 모텔비 때문에 부담스럽다. 다음번에도 이용하다 계획이다."
1,유원호텔_서초,8.4,우수,kyeongha,커플/2인 여행객,디럭스 프리미엄,2017.0,9.0,가격대비나쁘지않았음”,가려면 돈 조금 더 내고 디럭스나 프리미엄? 급 방만 이용하시는 걸 추천합니다. 저렴한 방들은 후기가 좋진 않은 듯? 디럭스 이상만 몇 번 이용했는데 괜찮았습니다. 위생은 불결한 부분은 없었는데 머리카락이 있다거나 왠지 100안심이 되진 않더라고요. 강남까지의 위치도 좋고 이 지역에서 가성 비각이라서 또 갈듯,1,2017-11-03,2017-11-03,4,가다 돈 조금 더 내다 디럭스나 프리미엄? 급 방만 이용하다 걸 추천하다. 저렴하다 방들은 후기가 좋다 않다 듯? 디럭스 이상만 몇 번 이용하다 괜찮다. 위생은 불결하다 부분은 없다 머리카락이 있다 왠지 100안심이 되다 않다. 강남까지의 위치도 좋다 이 지역에서 가성 비각이라서 또 갈다
1,유원호텔_서초,10.0,최고,Hyo,나홀로 여행객,,2020.0,12.0,친절하심”,"프런트에 계시던 분께서 방 온도는 어땠는지 친절하게 물어봐 주셨습니다. 위치, 친절도, 청결, 소음도 등등 조용해서 책 읽기에 좋았습니다.",1,2020-12-23,2020-12-23,5,"프런트에 계시다 분께서 방 온도는 어떻다 친절하다 물어보다 주다. 위치, 친절도, 청결, 소음도 등등 조용하다 책 읽다 좋다."
1,유원호텔_서초,10.0,최고,MIHYEON,출장 여행객,디럭스 더블베드,2017.0,5.0,친절하고 깨끗하고 넓고 좋아요”,남자친구 출장차 예약해서 같이 묵었는데 일정 변동 때문에 2번이나 예약 변경을 했음에도 흔쾌히 변경해주셔서 편안하게 묵었습니다.,1,2017-05-22,2017-05-22,5,남자친구 출장차 예약하다 같이 묵다 일정 변동 때문에 2번이나 예약 변경을 하다 흔쾌하다 변경해주다 편안하다 묵다.
1,유원호텔_서초,10.0,최고,YongHyun,나홀로 여행객,스탠다드 더블 베드,2021.0,2.0,"높은 가성비, 지하철 가까운 위치”","직원분들이 정말 친절했고, 오후 2시 체크아웃까지 고려해 주셔서 정말 감사했어요. 다음에 또 오려고요. 만족합니다.",1,2021-02-18,2021-02-18,5,"직원분들이 정말 친절하다, 오후 2시 체크아웃까지 고려하다 주다 정말 감사하다. 다음에 또 오다. 만족하다."
1,유원호텔_서초,8.3,우수,SOOJEONG,나홀로 여행객,스탠다드 더블 베드,2012.0,9.0,작지만 깨끗함”,"위치가 좋고 x000D 청소상태가 매우 깨끗하며 x000D 친절한 스텝들로 만족스러운 이용이었습니다. x000D 일층에 간단한 pc 이용 및 스캐너, 프린터 이용이 가능하여 x000D 출장 시 이용하기 좋은 곳으로 생각됩니다.",1,2012-09-05,2012-09-05,4,"위치가 좋다 x000D 청소상태가 매우 깨끗하다 x000D 친절하다 스텝들로 만족스럽다 이용이다. x000D 일층에 간단하다 pc 이용 및 스캐너, 프린터 이용이 가능하다 x000D 출장 시 이용하다 좋다 곳으로 생각되다."
