star,Hotel_name,review_rate,review_grade,reviewer_name,trip_type,room_type,trip_date_year,trip_date_month,review,trip_day,review_date
1,유원호텔_서초,9.2,최고,jeon,나홀로 여행객,스탠다드 더블 베드,2020,12,아버님 서울 병원 방문 목적으로 혼자 숙박하셔야 되어 걱정많았으나 사전 전화 문의에도 친절하셨고 사용하신 아버님도 매우 만족하셨습니다., 1박,2021-01-01
1,유원호텔_서초,7.2,좋음,Joonvum,출장 여행객,스탠다드 더블 베드,2019,6,"3호선 남부터미널 역이 매우 가깝고 교대역까지도 도보로 이동 가능한 거리에 위치함. 
싼 가격. 
같은 가격에 모텔보다는 좀 더 나은 숙소를 원한다면 추천. 그러나 호텔 내부 시설은 전무함. 

주말에 묵었을때는 창문을 열면 유흥가는 아니지만 유흥가마냥 시끄러움. 

전체적으로 가격대비 괜찮음.", 1박,2019-07-07
1,유원호텔_서초,8.8,우수,JaeYoung,나홀로 여행객,디럭스 더블베드,2019,9,"디럭스 더블베드룸에 숙박했습니다. 방은 깨끗했고 직원분들도 친절했습니다.
남부터미널이 바로 근처고, 편의점과 카페, 식당들도 많고 다이소도 근처라 편리했습니다.

단 제가 투숙했던 방은 컴퓨터가 구형인지 버퍼가 조금 심했고 리모콘 조명 컨트롤이 고장인지 작동하지 않았습니다.
이런 몇 가지 결점만 제외하면 매우 만족했습니다.", 1박,2019-10-01
1,유원호텔_서초,9,최고,Hye,그룹 여행객,스탠다드룸,2016,1,숙박의 목적에 따라 평가가 달라지겠지만 저희는 5명 친구들과 함께 하는 거라 도란도란 얘기도 좀 하고 싶었지만 조명 상태가 너~~~무 어두워서 답답했답니다. 화장하기도 어렵구요. 기본등은 있어야되지 않나 싶어요. 그 외에는 만족!!!, 1박,2016-01-19
1,유원호텔_서초,10,최고,SUNGMIN,커플/2인 여행객,스탠다드 더블 베드,2012,8,"일단 남부터미널에서 가깝고 놀라울 만큼 저렴한 숙박료에 감탄했습니다. 지방에 사는지라 주말에 친구들 만나러 서울에 자주가는데, 그 때마다 모텔비 때문에 부담스러웠거든요. 다음번에도 이용할 계획 입니다.", 1박,2012-08-23
1,유원호텔_서초,8.4,우수,kyeongha,커플/2인 여행객,디럭스 프리미엄,2017,9,가려면 돈조금더내고 디럭스나 프리미엄?급 방만 이용하시는걸 추천합니다. 저렴한 방들은 후기가 좋진않은듯? 디럭스이상만 몇번이용했는데 괜찮았습니다. 위생은 불결한부분은 없었는데(머리카락이 있다거나) 왠지 100%안심이 되진 않더라구요. 강남까지의 위치도 좋고 이 지역에서 가성비갑이라서 또갈듯~, 1박,2017-11-03
1,유원호텔_서초,10,최고,Hyo,나홀로 여행객,,2020,12,"프론트에 계시던 분께서 방 온도는 어땠는지 친절하게 물어봐주셨습니다. 
위치, 친절도, 청결 , 소음도 등등
조용해서 책읽기에 좋았습니다.", 1박,2020-12-23
1,유원호텔_서초,10,최고,MIHYEON,출장 여행객,디럭스 더블베드,2017,5,남자친구 출장차 예약해서 같이 묵었는데 일정변동때문에 2번이나 예약변경을했음에도 흔쾌히 변경해주셔서 편안하게 묵었습니다., 1박,2017-05-22
1,유원호텔_서초,10,최고,YongHyun,나홀로 여행객,스탠다드 더블 베드,2021,2,"직원분들이 정말 친절했고, 오후 2시 체크 아웃까지 고려해 주셔서 정말 감사했어요. 다음에 또 올려고요. 만족합니다.", 1박,2021-02-18
1,유원호텔_서초,8.3,우수,SOOJEONG,나홀로 여행객,스탠다드 더블 베드,2012,9,"위치가 좋고_x000D_
청소상태가 매우 깨끗하며_x000D_
친절한 스텝들로 만족스러운 이용이었습니다._x000D_
일층에 간단한 pc이용 및 스캐너, 프린터 이용이 가능하여_x000D_
출장시 이용하기 좋은 곳으로 생각됩니다.", 1박,2012-09-05
1,유원호텔_서초,10,최고,yujin,커플/2인 여행객,스탠다드 더블 베드,2021,1,금연방으로 예약해서 그런지 방에서 담배냄새 같은게 거의 나지 않았고 전체적으로 깨끗했어요~, 1박,2021-01-06
1,유원호텔_서초,7.2,좋음,KIM,그룹 여행객,스탠다드 더블 베드,2019,7,위치는 남부터미널역과 가까워서 좋았습니다. 조금 걷긴 하지만요. 화장실이 유리문에 꽉 맞물려 닫히지 않는 문이라 숙박공간과 완전한 격리가 불가능하네요. 소리도 다 들리고... 아주 친한 사이라면 괜찮겠지만 그렇지 않다면 곤란할 것 같습니다. 스탠다드는 화장실 바깥에 세면대가 나와있어서 실내에 물이 튑니다. 다른방 수도소리도 조금 크지만 잠은 잘 자는 편이라 그다지 신경쓰이지는 않았습니다. 할인한 가격대비 보통입니다., 1박,2019-07-08
1,유원호텔_서초,10,최고,Moon,커플/2인 여행객,디럭스 프리미엄,2020,11,가격대비 최고 요즘 매일 유원호텔만 이용해요 ㅎㅎ, 1박,2020-11-16
1,유원호텔_서초,8.7,우수,LEE,나홀로 여행객,스탠다드 더블 베드,2015,5,자체 카페도 있고 침대도 크고 최신시설은 아니지만 편안햇습니다., 1박,2015-05-29
1,유원호텔_서초,7.2,좋음,Su-Yeon,커플/2인 여행객,,2017,5,가격대비 룸이 매우 좋았음. 역과 접근성도 좋으나 룸간의 수도 설비 소음이 크고. 주변에 취객  소음이  큼. 소음에 무딘 사람은 크게 영향받지 않으나 예민한 사람은 숙면을 취하기 어려움., 1박,2017-05-21
1,유원호텔_서초,8,우수,Kim,출장 여행객,스탠다드 더블 베드,2020,6,"좀 오래되어 낡았지만... 깨끗합니다
이만한 위치에 이만한 호텔은 이가격에는 없을것 같아요", 2박,2020-06-29
1,유원호텔_서초,7.2,좋음,Jemin,나홀로 여행객,스탠다드 더블룸,2017,4,"유흥가 주변이라 밤에 많이 시끄러움. 그리고, 일반 숙박자 보다는 대실자들이 많아서 애들과 묵기에는 좀 그렇습니다.
주변에 음식점도 많고 지하철역이 가까워서 강남으로의 이동은 아주 좋음.", 2박,2017-04-05
